target_estimand,target_estimand_version,target_reference,target_denominator,analysis_plan_version,analysis_pair_role,target_transform,predictor_transform,target,target_role,predictor,n,r2_log2_target,spearman,rmse_log2,source_run_id,source_run_path,condition,seed
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),best_rank,diagnostic,gradient_detectable_rank,48,,,0.0,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),best_rank,diagnostic,predicted_rank_detectable,48,,,0.0,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),best_rank,diagnostic,predicted_rank_effective,48,,,0.0,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),best_rank,diagnostic,predicted_rank_stable,48,,,0.0,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),best_rank,diagnostic,gradient_effective_rank,48,,,0.0,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),best_rank,diagnostic,gradient_stable_rank,48,,,0.0,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),best_rank,diagnostic,raw_gradient_detectable_rank,48,,,0.0,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),best_rank,diagnostic,raw_gradient_effective_rank,48,,,0.0,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),best_rank,diagnostic,raw_gradient_stable_rank,48,,,0.0,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),best_rank,diagnostic,predicted_rank_raw_detectable,48,,,0.0,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),best_rank,diagnostic,predicted_rank_raw_effective,48,,,0.0,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),best_rank,diagnostic,predicted_rank_raw_stable,48,,,0.0,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
